,track_name,spotify_id,artist_name
0,Little Bit of Love,78q4ESvMkPVJzHAV11LAGE,Tom Grennan
1,Can I Get It,6w8ZPYdnGajyfPddTWdthN,Adele
2,Dancing Feet (feat. DNCE),4RAR8g8fZNB106ezUurnE0,Kygo
3,Better Days (NEIKED x Mae Muller x Polo G),6f5ExP43esnvdKPddwKXJH,NEIKED
4,Let's Fall in Love for the Night,7kQkmyoHCEqwe7QwDbkSXM,FINNEAS
5,Meet Me At Our Spot,07MDkzWARZaLEdKxo6yArG,THE ANXIETY
6,Heat Waves,02MWAaffLxlfxAUY7c5dvx,Glass Animals
7,When I’m Gone (with Katy Perry),5902W4uHWzhtOff1UK7the,Alesso
8,Glad You Exist,472vIK1ldetTxRxG3ovaiY,Dan + Shay
9,Wild (feat. Gary Clark Jr.),4rVW6XqAsSaf5vOwc8FREW,John Legend
10,Butterflies,7eQHxigpuDJjCG50JyzU8v,MAX
11,Lil Bit,0NmuYnjETG3u3qx0OmEJev,Nelly
12,Overpass Graffiti,4btFHqumCO31GksfuBLLv3,Ed Sheeran
13,You (with Marshmello & Vance Joy),1GkHyypTFkUf0QQKwYoXH4,benny blanco
14,The Bones - with Hozier,1yTTMcUhL7rtz08Dsgb7Qb,Maren Morris
15,You Were Loved (with OneRepublic),4W1JavoraGzh83nluQHY6C,Gryffin
16,dancing in the kitchen,0ohcCrxZkBfFbkuRPOZQZX,LANY
17,Love Again,1imMjt1YGNebtrtTAprKV7,Dua Lipa
18,Know Your Worth,0TrPqhAMoaKUFLR7iYDokf,Khalid
19,Blueberry Eyes (feat. SUGA of BTS),5dn6QANKbf76pANGjMBida,MAX
20,Heartbreak Anthem (with David Guetta & Little Mix),5K6Ssv4Z3zRvxt0P6EKUAP,Galantis
21,My Universe,3FeVmId7tL5YN8B7R3imoM,Coldplay
22,Wave of You,5Ne1q9Hv3l2NHBA3Agt8WT,Surfaces
23,seaside_demo,73M0rMVx5CWE8M4uATSsto,SEB
24,Acapulco,3eJH2nAjvNXdmPfBkALiPZ,Jason Derulo
25,WHERE WE ARE,4MTmAFWHpvB9kPMSRgLFRp,The Lumineers
26,Let's go to Hell,38XLUjlR84JEwK0SOvX77a,Tai Verdes
27,Dandelions,2eAvDnpXP5W0cVtiI0PUxV,Ruth B.
28,Chasing Stars (feat. James Bay),6y6xhAgZjvxy5kR5rigpY3,Alesso
29,West Coast,0sBJA2OCEECMs0HsdIQhvR,OneRepublic
30,Shivers,6bQfNiqyCX7UaQSvVVGo4I,Ed Sheeran
31,Where Are You Now,3uUuGVFu1V7jTQL60S1r8z,Lost Frequencies
32,Share That Love (feat. G-Eazy),44l9nnCVvOQBbWG6tDViKl,Lukas Graham
33,Way Less Sad,4jbtL4tjkqghUvJknUqU1s,AJR
34,Make You Mine,5iFwAOB2TFkPJk8sMlxP8g,PUBLIC
35,Cloudy Day,0mA7zotmg2ZFMRALljdZsS,Tones And I
36,Catching Feelings (feat. Six60),02VHspkXhhH1QCInRWWIfr,Drax Project
37,Big Energy,5lHxARJJrZc3ss4ZVmGWfz,Latto
38,Sunshine,5r43qanLhUCdBj8HN3fa6B,OneRepublic
39,Lost,18XlJEroUwFo0tLZxscgXE,Maroon 5
40,A-O-K,4CbrNGvwVjneG8Nk9YQqMR,Tai Verdes
41,Levitating (feat. DaBaby),463CkQjx2Zk1yXoBuierM9,Dua Lipa
42,I AM WOMAN,3nOz1U41SZZ0N3fuUWr9nb,Emmy Meli
43,Safe With Me (with Audrey Mika),6Skh3CBum0pZw9TOr7FQnX,Gryffin
44,Bam Bam (feat. Ed Sheeran),0QBzMgT7NIeoCYy3sJCof1,Camila Cabello
45,Save Your Tears (with Ariana Grande) (Remix),37BZB0z9T8Xu7U3e65qxFy,The Weeknd
46,Black And White,7rpNuuoMbid56XkDsx2FjE,Niall Horan
47,Leave Before You Love Me (with Jonas Brothers),4qu63nuBpdn0qHUHuObEj1,Marshmello
48,THATS WHAT I WANT,0e8nrvls4Qqv5Rfa2UhqmO,Lil Nas X
49,STAY (with Justin Bieber),5HCyWlXZPP0y6Gqq8TgA20,The Kid LAROI
50,Clarity,5c6lM2zjAF6MFoD8C1hiBr,Vance Joy
51,Joy,13Zc41gmudWhNSCaTdss51,Andy Grammer
52,All I Know So Far,4LmN3eU1R1vVEdKuDELpGk,P!nk
53,SUPERBLOOM,2HvtedoEeymVWrBPyAMNwZ,MisterWives
54,Take My Breath,6OGogr19zPTM4BALXuMQpF,The Weeknd
55,Fly Away,1jgu8MFTEGdL1wjw9gZj5y,Tones And I
56,Anyone,31qCy5ZaophVA81wtlwLc4,Justin Bieber
57,Stay Next To Me (with Chelsea Cutler),6SGG5AxHShqSYiV9fCWpZz,Quinn XCII
58,I Like That,2RkZZh5XQ4y3sG8gCu96Tz,Bazzi
59,Be Like That - feat. Swae Lee & Khalid,5f1joOtoMeyppIcJGZQvqJ,Kane Brown
60,OK Not To Be OK,0zzVTGyRrWpQu8Fr28NRAv,Marshmello
61,Sheesh!,3ddNKnYpVx0uI8vcwbTQ5Y,Surfaces
62,Fancy Like,3ZozFqJJlDBNIm4xqxn2ZD,Walker Hayes
63,Electric Love,2GiJYvgVaD2HtM8GqD9EgQ,BØRNS
64,Conversations in the Dark - John Legend vs. David Guetta,20d27F17AZOxTJOEHAVK2Y,John Legend
65,Watermelon Sugar,6UelLqGlWMcVH1E5c4H7lY,Harry Styles
66,Someone To You,2f0pn9DkEJwAzXApnFh5cr,BANNERS
67,One Right Now (with The Weeknd),00Blm7zeNqgYLPtW6zg8cj,Post Malone
68,Head & Heart (feat. MNEK),6cx06DFPPHchuUAcTxznu9,Joel Corry
69,3 Nights,1tNJrcVe6gwLEiZCtprs1u,Dominic Fike
70,Light Switch,1BSMpVGWs3v5BZKnAQziAc,Charlie Puth
71,Mariposa,4ja2gzrNh9VNigzoXfmbwD,Peach Tree Rascals
72,Put Your Records On,1fah1uAs7HeTYDlNftKr3K,Ritt Momney
73,Message In A Bottle (Taylor's Version) (From The Vault),6PdCbJwSOeovMX7kfwiAxb,Taylor Swift
74,Summer of Love (Shawn Mendes & Tainy),0z8hI3OPS8ADPWtoCjjLl6,Shawn Mendes
75,Sunroof,3RfTeIrWS8LNrfHYwechtt,Nicky Youre
