,track_name,artist_name,lyrics
0,One Right Now (with The Weeknd),Post Malone,"Na-na-na-na, na-na Na-na-na-na, oh no Yeah, yeah  Said you love me, but I don't care That I broke my hand on the same wall That you told me that he fucked you on (oh!) You think it's so easy fucking with my feelings I got one coming over and one right now (uh) One right now (One right now, one right now, oh-oh-oh) I got one coming over and one right now  Said you want to have my babies I fucked you so good, you should pay me Don't call me ""baby"" when you did me so wrong (When you did me so wrong) But I got over what you did already Body for body, so petty How many of your friends fit in my Rolls? (Can you fit in my Rolls?) ...   "
1,dancing in the kitchen,LANY,"City lights looking like ice underneath the stars Beautiful, but I'd rather be right here where we are Go and tell your friends, we're running late again What you think? Pour another drink and call off the car  I could spend a thousand nights right here inside this room  Swear the only one I want is you And it doesn't matter what we do We could have nothing at all And it'd still feel like nothing's missing Now we're moving like we're on the moon Dom Pérignon drip on our shoes We could fly around the world But we always end up  Dancing in the kitchen Dancing in the kitchen  ...   "
2,Sheesh!,Surfaces,"You know what I'm sayin'? (Sheesh)  I be like sheesh (sheesh) Sunset on the beach (beach) Make me wanna pull up on Miami with the heat (heat) I don't know 'bout you (you) But I know 'bout me (me) Summertime in Florida, catch me slidin' on the keys (oh, yeah)  Oh, something's happened inside of me Excellence, yeah, it's gotta be Hot and cold, it's dichotomy Rock with me, we some prodigies La-di, da-di, we party They hear us down in the lobby We tried to tell 'em to join us And if they don't thеy'll be sorry  No time to be out hеre hatin' It's history in the makin' I'm lovin' on all the opps Despite everything that they sayin' My mama proud, yeah, she oughta be Elton John keep on callin' me But even if he didn't, she still think we hit the lottery ...   "
3,Can I Get It,Adele,"Pave me a path to follow And I'll tread any dangerous road I will beg and I'll steal, I will borrow If I can make it, if I can make your heart my home  Throw me to the water (water) I don't care how deep or shallow (water) Because my heart can pound like thunder (water) And your love, and your love can set me free (water)  Oh, I have promised I will love you 'til the end of time Through it all, the good, the bad, the ugly and divine I will be the melody, the rhythm and your rhyme All I want is for you to be mine, mine  So can I get it right now? Mmm Can I get it right now? (Can I get it here?) ...   "
4,Black And White,Niall Horan,
5,Take My Breath,The Weeknd,"I saw the fire in your eyes I saw the fire when I look into your eyes You tell me things you wanna try (uh) I know temptation is the devil in disguise  You risk it all to feel alive, oh yeah You're offering yourself to me like sacrifice You said you do this all the time Tell me you love me if I bring you to the light  It's like a dream what she feels with me She loves to be on the edge Her fantasy is okay with me Then suddenly, baby says  Take my breath away And make it last forever, babe Do it now or never, babe (ah) Take my breath away Nobody does it better, babe ...   "
6,SUPERBLOOM,MisterWives,"Resilient little thing, just like mama made you No one needs to save you Ah-na-na, ah-na-na, ah-na-na Wallflower in the spring Oh, they can't contain you Through the cracks, you break through Ah-na-na, ah-na-na, ah-na-na  I deserve congratulations 'Cause I came out the other side I've been having revelations And I'm gon' let them shine  I deserve congratulations I'd never thought that I'd survive If you tell me I won't make it That's when I, that's when I  Superbloom, superbloom Superbloom, superbloom  Resilient little thing, just like mama raised you So you got that wildfire in your soul ...   "
7,Shivers,Ed Sheeran,"I took an arrow to the heart I never kissed a mouth that taste like yours Strawberries and something more Ooh, yeah, I want it all  Lipstick on my guitar (ooh) Fill up the engine, we can drive real far Go dancing underneath the stars Ooh, yeah, I want it all Mmh, you got me feeling like  I wanna be that guy I wanna kiss your eyes I wanna drink that smile I wanna feel like I'm Like my soul's on fire I wanna stay up all day and all night Yeah, you got me singing like  Ooh, I love it when you do it like that And when you're close up, give me the shivers Oh, baby, you wanna dance 'til the sunlight cracks And when they say the party's over, then we bring it right back  And we'll say Ooh, I love it when you do it like that And when you're close up, give me the shivers ...   "
8,Let's go to Hell,Tai Verdes,"Let's go to Hell together We can burn forever I got nothing better to do You know that I'm not a rebel I just know the Devil Can't be much worse than me and you  Let's let this motherfucker burn to the ground I lost a love that I thought I found Took all the money out my account I bought an eighth and I bought a pound Smoke it up 'til I can't hear a sound Flip the Earth and turn it upside down Come on, baby, go South bound  There's a secret place in Arizona You can never see it if you're sober Opens up into a supernova, yah It will never drop one degree colder Feel the flames, the heat burnin' your shoulder You'll be fine when this thing's all over, oh, yeah ...   "
9,OK Not To Be OK,Marshmello,"Feeling like a drop in the ocean That don't nobody notice Maybe it's all just in your head Feeling like you're trapped in your own skin And now your body's frozen Broken down, you've got nothing left  When you're high on emotion And you're losing your focus And you feel too exhausted to pray Don't get lost in the moment Or give up when you're closest All you need is somebody to say  It's okay not to be okay It's okay not to be okay When you're down and you feel ashamed ...   "
10,Light Switch,Charlie Puth,"(Yeah)  Why you callin' at 11:30 When you only wanna do me dirty? But I hit right back 'cause you got that, that, yeah  Why you always wanna act like lovers But you never wanna be each other's? I say, ""Don't look back"" but I go right back and  All of a sudden, I'm hypnotized You're the one that I can't deny Every time that I say I'm gonna walk away  You turn me on like a light switch When you're movin' your body around and around Now, I don't wanna fight this (no) You know how to just make me want  You turn me on like a light switch When you're movin' your body around and around You got me in a tight grip (yeah) You know how to just make me want you, baby  Do you love it when you keep me guessin'? (Me guessin') ...   "
11,3 Nights,Dominic Fike,"Three nights at the motel Under streetlights In the city of palms Call me what you want, when you want, if you want And you can call me names if you call me up  Three nights at the motel Under streetlights In the city of palms Call me what you want, when you want, if you want And you can call me names if you call me up  Feel like the least of all your problems You can reach me if you wanna stay up tonight Stay up at night Green lights in your body language Seems like you could use a little  Company from me But if you got everything Figured out like you say Don't waste a minute Don't wait a minute  It's only a matter of time ...   "
12,Wave of You,Surfaces,"Yeah  Where am I supposed to be Washed up, pushed out or on my feet? Tell me is this a dream Or am I stuck in a movie scene?  Daily, lately I'm spinnin' away, so crazy So baby, just take me  I think I'm caught up in a wave, I feel 'bout you I don't know how I can be so drawn into you I think I'm fallin' in deep I think I'm caught up in a wave of you, of you, mhmm  Oh, upside down, I'm tip-toein' under the sea ...   "
13,Fancy Like,Walker Hayes,"Ayy My girl is bangin' She's so low maintenance Don't need no champagne poppin' entertainment Take her to Wendy's Can't keep her off me She wanna dip me like them fries in her Frosty  But every now and then when I get paid I gotta spoil my baby with an upgrade (ayy) Ayy, ayy, ayy  Yeah, we fancy like Applebee's on a date night Got that Bourbon Street steak with the Oreo shake Get some whipped cream on the top too Two straws, one check, girl, I got you Bougie like Natty in the styrofoam Squeak-squeakin' in the truck bed all the way home Some Alabama-jamma, she my Dixieland delight (ayy) That's how we do, how we do, fancy like, oh ...   "
14,Watermelon Sugar,Harry Styles,"Tastes like strawberries On a summer evenin' And it sounds just like a song I want more berries And that summer feelin' It's so wonderful and warm  Breathe me in, breathe me out I don't know if I could ever go without I'm just thinking out loud I don't know if I could ever go without  Watermelon sugar high Watermelon sugar high Watermelon sugar high Watermelon sugar high Watermelon sugar  Strawberries on a summer evenin' Baby, you're the end of June ...   "
15,Lost,Maroon 5,"Had no connection, no faith or direction, no Searching and searching for someone to save my soul (ooh)  (Ooh-ooh-ooh-ooh) I was swept up in a wave, swept up in a wave (Ooh-ooh-ooh-ooh) then I heard you say my name Yeah-yeah, yeah-yeah  Lost, I was lost, I was lost 'til you loved me Now I'm found, now I'm found, now I'm found Yeah, you took me to a place It was safe, it was sound (sound, sound, sound) Lost, I was lost, now I'm found  Lost, I was lost, I was lost 'til you loved me Now I'm found, now I'm found, now I'm found Yeah, you took me to a place It was safe, it was sound (sound, sound, sound) Lost, I was lost, now I'm found  I was so broken, my heart was an empty space (oh, oh, oh) ...   "
