,track_name,spotify_id,artist_name,album,spotify_popularity,release_date,duration,explicit_content
0,One Right Now (with The Weeknd),00Blm7zeNqgYLPtW6zg8cj,Post Malone,One Right Now,92,2021-11-05,193506,True
1,dancing in the kitchen,0ohcCrxZkBfFbkuRPOZQZX,LANY,dancing in the kitchen,76,2021-06-25,208599,False
2,Sheesh!,3ddNKnYpVx0uI8vcwbTQ5Y,Surfaces,Sheesh!,75,2021-08-20,148846,False
3,Can I Get It,6w8ZPYdnGajyfPddTWdthN,Adele,30,82,2021-11-19,210384,False
4,Black And White,7rpNuuoMbid56XkDsx2FjE,Niall Horan,Heartbreak Weather,78,2020-03-13,193089,False
5,Take My Breath,6OGogr19zPTM4BALXuMQpF,The Weeknd,Take My Breath,83,2021-08-06,220196,False
6,SUPERBLOOM,2HvtedoEeymVWrBPyAMNwZ,MisterWives,SUPERBLOOM,75,2020-07-24,213546,False
7,Shivers,6bQfNiqyCX7UaQSvVVGo4I,Ed Sheeran,Shivers,20,2021-09-10,207853,False
8,Let's go to Hell,38XLUjlR84JEwK0SOvX77a,Tai Verdes,Let's go to Hell,76,2021-11-03,152181,True
9,OK Not To Be OK,0zzVTGyRrWpQu8Fr28NRAv,Marshmello,OK Not To Be OK,79,2020-09-10,159862,False
10,Light Switch,1BSMpVGWs3v5BZKnAQziAc,Charlie Puth,Light Switch,92,2022-01-20,185680,False
11,3 Nights,1tNJrcVe6gwLEiZCtprs1u,Dominic Fike,"Don't Forget About Me, Demos",84,2018-10-16,177666,False
12,Wave of You,5Ne1q9Hv3l2NHBA3Agt8WT,Surfaces,Wave of You,75,2021-04-09,213842,False
13,Fancy Like,3ZozFqJJlDBNIm4xqxn2ZD,Walker Hayes,Country Stuff,81,2021-06-04,161853,False
14,Watermelon Sugar,6UelLqGlWMcVH1E5c4H7lY,Harry Styles,Fine Line,92,2019-12-13,174000,False
15,Lost,18XlJEroUwFo0tLZxscgXE,Maroon 5,JORDI (Deluxe),81,2021-06-11,172597,False
16,Head & Heart (feat. MNEK),6cx06DFPPHchuUAcTxznu9,Joel Corry,Head & Heart (feat. MNEK),87,2020-07-03,166028,False
17,Leave Before You Love Me (with Jonas Brothers),4qu63nuBpdn0qHUHuObEj1,Marshmello,Leave Before You Love Me,88,2021-05-21,154983,False
18,The Bones - with Hozier,1yTTMcUhL7rtz08Dsgb7Qb,Maren Morris,The Bones (with Hozier),76,2019-10-04,197298,False
19,Heartbreak Anthem (with David Guetta & Little Mix),5K6Ssv4Z3zRvxt0P6EKUAP,Galantis,Heartbreak Anthem (with David Guetta & Little Mix),86,2021-05-20,183725,False
20,Love Again,1imMjt1YGNebtrtTAprKV7,Dua Lipa,Future Nostalgia,74,2020-03-27,258004,False
21,Joy,13Zc41gmudWhNSCaTdss51,Andy Grammer,Joy,52,2022-01-28,193621,False
22,Glad You Exist,472vIK1ldetTxRxG3ovaiY,Dan + Shay,Glad You Exist,76,2021-02-05,144533,False
23,My Universe,3FeVmId7tL5YN8B7R3imoM,Coldplay,My Universe,92,2021-09-24,228000,False
24,Message In A Bottle (Taylor's Version) (From The Vault),6PdCbJwSOeovMX7kfwiAxb,Taylor Swift,Red (Taylor's Version),71,2021-11-12,225960,False
25,STAY (with Justin Bieber),5HCyWlXZPP0y6Gqq8TgA20,The Kid LAROI,STAY (with Justin Bieber),96,2021-07-09,141805,True
26,Share That Love (feat. G-Eazy),44l9nnCVvOQBbWG6tDViKl,Lukas Graham,Share That Love (feat. G-Eazy),73,2020-08-21,172398,True
27,Sunshine,5r43qanLhUCdBj8HN3fa6B,OneRepublic,Sunshine,86,2021-11-10,163854,False
28,Electric Love,2GiJYvgVaD2HtM8GqD9EgQ,BØRNS,Dopamine,87,2015-10-16,218106,False
29,Fly Away,1jgu8MFTEGdL1wjw9gZj5y,Tones And I,Fly Away,62,2020-11-13,178156,False
30,A-O-K,4CbrNGvwVjneG8Nk9YQqMR,Tai Verdes,A-O-K,52,2021-05-06,173640,True
31,Chasing Stars (feat. James Bay),6y6xhAgZjvxy5kR5rigpY3,Alesso,Chasing Stars (feat. James Bay),79,2021-08-20,170457,False
32,seaside_demo,73M0rMVx5CWE8M4uATSsto,SEB,seaside_demo,2,2021-05-17,132000,False
33,Safe With Me (with Audrey Mika),6Skh3CBum0pZw9TOr7FQnX,Gryffin,Safe With Me (with Audrey Mika),76,2020-11-19,205164,False
34,Save Your Tears (with Ariana Grande) (Remix),37BZB0z9T8Xu7U3e65qxFy,The Weeknd,Save Your Tears (Remix),92,2021-04-23,191013,False
35,Levitating (feat. DaBaby),463CkQjx2Zk1yXoBuierM9,Dua Lipa,Levitating (feat. DaBaby),85,2020-10-01,203064,False
36,Sunroof,3RfTeIrWS8LNrfHYwechtt,Nicky Youre,Sunroof,85,2021-11-26,163025,False
37,Better Days (NEIKED x Mae Muller x Polo G),6f5ExP43esnvdKPddwKXJH,NEIKED,Better Days (NEIKED x Mae Muller x Polo G),90,2021-09-24,160656,False
38,Conversations in the Dark - John Legend vs. David Guetta,20d27F17AZOxTJOEHAVK2Y,John Legend,Conversations in the Dark,72,2020-02-14,210236,False
39,Blueberry Eyes (feat. SUGA of BTS),5dn6QANKbf76pANGjMBida,MAX,Blueberry Eyes (feat. SUGA of BTS),75,2020-09-15,172244,False
40,Someone To You,2f0pn9DkEJwAzXApnFh5cr,BANNERS,Where The Shadow Ends,83,2019-10-04,219801,False
41,Put Your Records On,1fah1uAs7HeTYDlNftKr3K,Ritt Momney,Put Your Records On,1,2020-04-24,210463,False
42,Cloudy Day,0mA7zotmg2ZFMRALljdZsS,Tones And I,Cloudy Day,74,2021-06-10,185303,False
43,You Were Loved (with OneRepublic),4W1JavoraGzh83nluQHY6C,Gryffin,You Were Loved (with OneRepublic),77,2022-04-01,221885,False
44,Lil Bit,0NmuYnjETG3u3qx0OmEJev,Nelly,Lil Bit,77,2020-10-23,195962,True
45,Little Bit of Love,78q4ESvMkPVJzHAV11LAGE,Tom Grennan,Little Bit of Love (Acoustic),73,2021-01-29,226268,False
46,Heat Waves,02MWAaffLxlfxAUY7c5dvx,Glass Animals,Dreamland (+ Bonus Levels),96,2020-08-06,238805,False
47,Way Less Sad,4jbtL4tjkqghUvJknUqU1s,AJR,Way Less Sad,70,2021-02-17,206108,False
48,THATS WHAT I WANT,0e8nrvls4Qqv5Rfa2UhqmO,Lil Nas X,MONTERO,97,2021-09-17,143901,True
49,Dandelions,2eAvDnpXP5W0cVtiI0PUxV,Ruth B.,Safe Haven,94,2017-05-05,233720,False
50,WHERE WE ARE,4MTmAFWHpvB9kPMSRgLFRp,The Lumineers,BRIGHTSIDE,69,2022-01-14,172800,False
51,Dancing Feet (feat. DNCE),4RAR8g8fZNB106ezUurnE0,Kygo,Dancing Feet (feat. DNCE),86,2022-02-25,215203,False
52,Stay Next To Me (with Chelsea Cutler),6SGG5AxHShqSYiV9fCWpZz,Quinn XCII,Stay Next To Me (with Chelsea Cutler),23,2020-12-04,206045,False
53,Cold Heart - PNAU Remix,6zSpb8dQRaw0M1dK8PBwQz,Elton John,Cold Heart (PNAU Remix),96,2021-08-13,202735,False
54,Bam Bam (feat. Ed Sheeran),0QBzMgT7NIeoCYy3sJCof1,Camila Cabello,Bam Bam (feat. Ed Sheeran),96,2022-03-04,206070,False
55,Anyone,31qCy5ZaophVA81wtlwLc4,Justin Bieber,Anyone,82,2021-01-01,190779,False
56,Meet Me At Our Spot,07MDkzWARZaLEdKxo6yArG,THE ANXIETY,THE ANXIETY,90,2020-03-13,162680,True
57,Clarity,5c6lM2zjAF6MFoD8C1hiBr,Vance Joy,Clarity,56,2022-04-06,227240,False
58,Mariposa,4ja2gzrNh9VNigzoXfmbwD,Peach Tree Rascals,Mariposa,79,2019-08-28,210000,False
59,You (with Marshmello & Vance Joy),1GkHyypTFkUf0QQKwYoXH4,benny blanco,You (with Marshmello & Vance Joy),75,2021-01-29,169632,False
60,Be Like That - feat. Swae Lee & Khalid,5f1joOtoMeyppIcJGZQvqJ,Kane Brown,Be Like That (feat. Swae Lee & Khalid),81,2020-07-10,191406,False
61,Let's Fall in Love for the Night,7kQkmyoHCEqwe7QwDbkSXM,FINNEAS,Let’s Fall In Love For The Night,77,2018-10-19,190348,True
62,All I Know So Far,4LmN3eU1R1vVEdKuDELpGk,P!nk,All I Know So Far,77,2021-05-07,277413,True
63,Where Are You Now,3uUuGVFu1V7jTQL60S1r8z,Lost Frequencies,Where Are You Now,96,2021-07-30,148197,False
64,I AM WOMAN,3nOz1U41SZZ0N3fuUWr9nb,Emmy Meli,I AM WOMAN,87,2021-11-19,232813,True
65,When I’m Gone (with Katy Perry),5902W4uHWzhtOff1UK7the,Alesso,When I’m Gone (with Katy Perry),87,2021-12-29,161266,False
66,For Tonight,61Emqg95O9zo1GNOcyxq4Y,Giveon,For Tonight,85,2021-09-24,193821,False
67,Overpass Graffiti,4btFHqumCO31GksfuBLLv3,Ed Sheeran,=,87,2021-10-29,236906,False
68,Catching Feelings (feat. Six60),02VHspkXhhH1QCInRWWIfr,Drax Project,Catching Feelings (feat. Six60),58,2019-09-04,218854,False
69,West Coast,0sBJA2OCEECMs0HsdIQhvR,OneRepublic,West Coast,82,2022-02-25,192947,False
70,I Like That,2RkZZh5XQ4y3sG8gCu96Tz,Bazzi,I Like That,76,2021-07-22,158083,True
71,Summer of Love (Shawn Mendes & Tainy),0z8hI3OPS8ADPWtoCjjLl6,Shawn Mendes,Summer Of Love,86,2021-08-20,184104,False
72,Make You Mine,5iFwAOB2TFkPJk8sMlxP8g,PUBLIC,Make You Mine,81,2019-08-09,232906,False
73,Big Energy,5lHxARJJrZc3ss4ZVmGWfz,Latto,Big Energy,71,2021-09-24,173182,False
74,Wild (feat. Gary Clark Jr.),4rVW6XqAsSaf5vOwc8FREW,John Legend,Bigger Love,76,2020-06-19,196906,False
75,Acapulco,3eJH2nAjvNXdmPfBkALiPZ,Jason Derulo,Acapulco,88,2021-09-03,139672,False
