,track_name,artist_name,tweets
0,One Right Now (with The Weeknd),Post Malone,"I’m obsessed with this bop by The Weeknd and Post Malone “one right now”. 🔥🎧 one right now (with the weeknd) by post malone is actually kpop ♫One Right Now by The Weeknd, Post Malone, from #SoundHound with LiveLyrics® https://t.co/xeFIcZs5Ih"
1,dancing in the kitchen,LANY,"Hi everyone! One of my favorite songs is dancing in the kitchen by LANY. It's a great song for when you're feeling mellow or when you want to feel like you're in a music video. Hi everyone! One of my favorite songs is dancing in the kitchen by LANY. It's a great song for when you're feeling mellow or when you want to feel like you're in a music video. alexa play slow dancing in the kitchen by lany https://t.co/GQgSVMnroF dancing in the kitchen - lany https://t.co/WrlR6WMa5L lany - dancing in the kitchen. album lany yg malibu nights sama gg bb xx bagus bagus🥹 https://t.co/d2WlrY3jwo Already edited a video of sunghoon with lany - dancing in the kitchen as the background music and i just know that sunghoon was listening to why dont we :"") RT @NameSmileee: @fayerynn ความหมายคลั่งรักสุดๆไปเรยยยย ให้ทร.คนเดียวเลยค่ะ 😉✨ 

I could spend a thousand nights right here inside this roo… @fayerynn ความหมายคลั่งรักสุดๆไปเรยยยย ให้ทร.คนเดียวเลยค่ะ 😉✨ 

I could spend a thousand nights right here inside this room
Swear the only one I want is you
And it doesn't matter what we do
We could have nothing at all

Dancing in the Kitchen - LANY Dancing in the kitchen - LANY https://t.co/vLzmNjkVhZ"
2,Sheesh!,Surfaces,"Surfaces &amp; Tai Verdes - Sheesh! RT @kevs_stash: Siri, play Sheesh! By Surfaces 😚😎 https://t.co/5FKDf3BTYb This song is sickkkk!! ""Sheesh!"" by Surfaces, Tai Verdes https://t.co/Kg2dKXCrK0 https://t.co/AVMJIk5Fuj Surfaces最高にチルで好き🌴

https://t.co/bEUmKPpvN9 [OnlyHitUS] Right now: Sheesh!
 by Surfaces, Tai Verdes Join us on https://t.co/Q2ZfUngJan https://t.co/7Uw4ekX9j2 @surfaces just heard Sheesh! while driving a car in Fortnite w/my cousins🥰 you have no idea how happy that made me🥲🫠 @JustStacie5683 Sheesh! by Surfaces"
3,Can I Get It,Adele,"RT @retriever_lover: Adele - Can I Get It (Official Lyric Video) https://t.co/e0yu2dELFI μέσω @YouTube RT @adele30please: Can I Get It has probably aged the best to me from 30… it has so much potential to be big if Adele and her team pushes i… Can I Get It - Adele @srialover FAÇO!! mas primeiro vou fazer um com can i get it da adele pq ja tenho a ideia toda montada na cabeça 😭😭 RT @adele30please: Can I Get It has probably aged the best to me from 30… it has so much potential to be big if Adele and her team pushes i… RT @adele30please: Can I Get It has probably aged the best to me from 30… it has so much potential to be big if Adele and her team pushes i… RT @gurlbowdown: Adele making Can I get it
https://t.co/qTJ4NO6rz9 Can I Get It has probably aged the best to me from 30… it has so much potential to be big if Adele and her team pushes it 😭 Adele making Can I get it
https://t.co/qTJ4NO6rz9 Here’s the thing about KCAs, I can’t disagree with the results. Adele herself said this album ain’t for children and teenagers and we did vote, put in our efforts but Billie won it, I get it, now global artist should be won by Adele and not BTS because Adele had more acclaim amen"
4,Black And White,Niall Horan,
5,Take My Breath,The Weeknd,"@DJDENSE The Weeknd- take my breath RT @theweeknd: dawn universe videos in order… take my breath &gt; sacrifice &gt; The Weeknd dawn fm experience on Amazon prime &gt; gasoline … THEN… [OnlyHitUS] Currently: Take My Breath
 by The Weeknd Listen on all your devices with TuneIn! https://t.co/Q2ZfUngJan https://t.co/FeYDSsrffN The Weeknd - Take My Breath 🔊 #NowPlaying on #BBCRadio2's #OJBorg 🕊️

The Weeknd:
  🎵 Take My Breath

#TheWeeknd 

https://t.co/s36rhRSZTQ The Weeknd - Take My Breath https://t.co/MPh8MG0Gkm #NowPlaying #BBCRadio2 Now Playing The Weeknd - Take My Breath TheWeeknd The Weeknd - Take My Breath The Weeknd Take My Breath The Weeknd https://t.co/0CjxkSFpoa The Weeknd - Take My Breath #REFLEXRADIO #REFLEXNOW sml904FM Weekly 7x: Take My Breath (The Weeknd)"
6,SUPERBLOOM,MisterWives,"Taking a career leap from cosmetology for a bit and starting at Herkimer college this fall! Cybersecurity and digital forensics baby! So excited to learn and grow! (Also peep the superbloom hoodie @MisterWives 💖) https://t.co/Vi4AEuPR2K @SadieJay101 Good Morning Sadie - I heard this song today and it made me think of you Superbloom by Misterwives. RT @artofjoenni: finished this SUPERBLOOM-inspired wonderland of a piece just in time for the @MisterWives livedream weekend 🌸 https://t.co… RT @artofjoenni: finished this SUPERBLOOM-inspired wonderland of a piece just in time for the @MisterWives livedream weekend 🌸 https://t.co… Misterwives - Superbloom https://t.co/251aM0e32r rn my best ideas are
1) misterwives superbloom theme bc that album is the only reason I graduated
2) spongebob timecard, ""sixteen months later...""
3) some kinda riff on the chicago flag I sent it to him too, but one song I'll never get tired of, that never fails to make things feel a little lighter is Superbloom by Misterwives 🌷🌹🌺🌻 https://t.co/f4QOEqVQ1P"
7,Shivers,Ed Sheeran,"Now on air :  Ed Sheeran - Shivers (NAVOS Remix)  #Hitmusic  #NewMusicFriday #music #soundcloud  #newmusic #newmusicfriday #spotify  @officialcharts @YouTube @BRITs 'Shivers' by Ed Sheeran Feat. Jessi &amp; #SUNMI has surpassed 90K Shazams! 

#선미 @miyaohyeah https://t.co/1YjT9fTUqI Now Playing Shivers - Ed Sheeran https://t.co/pAyljGcGas Playing Now: Ed Sheeran, ""Shivers"", 03:27, #EdSheeran https://t.co/PNH0QKwxu3 all i want in the world is for someone to think about me like how ed sheeran thinks about whoever shivers is about SHIVERS by ED SHEERAN now playing on BigmanRadio #NowPlaying  #StreamingLive  https://t.co/2lOXdlC0Gg [21:01] Ed Sheeran - Shivers (Ofenbach Remix) #nowplaying @BIZwebradio https://t.co/dNCmG0FZNI #NowPlaying 
Ed Sheeran - Shivers (Clean)
Listen Here: https://t.co/0ljlTYbGLX
 #GTVRadio #submit #music RT @fireball_annie: Shivers - Ed Sheeran (cover by Fireball Annie) - piano only https://t.co/rQTKDW6tc6 via @YouTube 

Shivers - Ed Sheeran… 01:20: ""Shivers"" von Ed Sheeran"
8,Let's go to Hell,Tai Verdes,"Now Playing: Tai Verdes - Let's Go To Hell (Click Here To Listen) https://t.co/kcNQSyXRrW Nu op ZTACK: Let's go to Hell van Tai Verdes! 🎶
📻Tune in op https://t.co/XYjsqE6MaU! Nu op ZTACK: Let's go to Hell van Tai Verdes! 🎶
📻Tune in op https://t.co/XYjsqE6MaU! Now Playing: Tai Verdes - Let's Go To Hell (Click Here To Listen) https://t.co/kcNQSyXRrW Nu op ZTACK: Let's go to Hell van Tai Verdes! 🎶
📻Tune in op https://t.co/XYjsqE6MaU! Now Playing: Tai Verdes - Let's Go To Hell (Click Here To Listen) https://t.co/kcNQSyXRrW Nu op ZTACK: Let's go to Hell van Tai Verdes! 🎶
📻Tune in op https://t.co/XYjsqE6MaU! Nu op ZTACK: Let's go to Hell van Tai Verdes! 🎶
📻Tune in op https://t.co/XYjsqE6MaU! Have you heard ‘Let's go to Hell’ by Tai Verdes on #SoundCloud? #np https://t.co/izUteFzDNE Now Playing: Tai Verdes - Let's Go To Hell (Click Here To Listen) https://t.co/kcNQSyXRrW"
9,OK Not To Be OK,Marshmello,"Marshmello &amp; Demi Lovato - OK Not To Be OK (Lyrics) https://t.co/25Td0fCD9I via @YouTubeMusic

My mood right now..... #NowPlaying Marshmello &amp; Demi Lovato - OK Not To Be OK #SWIFTWAVERADIO Listen Live on https://t.co/rTI0vlu5qn TRIBE is mostly playing marshmello &amp; Demi Lovato - OK Not To Be OK at the moment. Listen in at https://t.co/9Fcy7U08ug Now Playing: OK Not to Be OK by Marshmello &amp; Demi Lovato. https://t.co/gCdjI2V0wy Now playing on OnlyTunes: Ok Not to Be Ok by Marshmello Feat. Demi Lovato! Tune in now: https://t.co/QSc4YvXbpO OK Not To Be OK https://t.co/1xLK3CmIq9 #pop #marshmello @marshmello https://t.co/0LJfSwh62e Marshmello - OK Not To Be OK #NowPlaying Marshmello &amp; Demi Lovato - OK Not To Be OK #SWIFTWAVERADIO Listen Live on https://t.co/rTI0vlu5qn Marshmello - OK Not To Be OK (and Demi Lovato) Now Playing on 234Radio, Marshmello and Demi Lovato - OK Not To Be OK.

Listen live on https://t.co/CtrpndTCI7

Download 234Radio mobile app on iOS and Android."
